SPECIES,TYPE,PTOLR,NATIVE,TROPHIC,SILT,PIRHALLA,DATE ADDED,REASON,SOURCE,FAM,GENUS,SP_SCI,IN_KEY,APPROX_ID
GOLDEN REDHORSE,SUCKER,NOTYPE,N,OM,Y,,,,,Catostomidae,Moxostoma,erythrurum,TRUE,FALSE
GOLDEN SHINER,OTHRCYPR,T,N,OM,N,,,,,Cyprinidae,Notemigonus,crysoleucas,TRUE,FALSE
GOLDFISH,OTHRCYPR,NOTYPE,I,OM,N,,,,,Cyprinidae,Carassius,auratus,TRUE,FALSE
GRASS CARP,OTHRCYPR,NOTYPE,I,HE,N,,,,,Cyprinidae,Ctenopharyngodon,idella,TRUE,FALSE
GREEN SUNFISH,SUNFISH,T,IC,GE,N,,,,,Centrarchidae,Lepomis,cyanellus,TRUE,FALSE
GREENSIDE DARTER,DARTER,NOTYPE,N,IS,N,,,,,Percidae,Etheostoma,blennioides,TRUE,FALSE
HICKORY SHAD,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Clupeidae,Alosa,mediocris,TRUE,FALSE
INLAND SILVERSIDE,NOTYPE,NOTYPE,N,FF,N,,,,,Atherinidae,Menidia,beryllina,TRUE,FALSE
IRONCOLOR SHINER,SHINER,I,N,IS,Y,,,,,Cyprinidae,Notropis,chalybaeus,TRUE,FALSE
JOHNNY DARTER,DARTER,NOTYPE,N,IV,N,,,,,Percidae,Etheostoma,nigrum,TRUE,FALSE
LARGEMOUTH BASS,NOTYPE,T,IC,TP,N,,,,,Centrarchidae,Micropterus,nigricans,TRUE,FALSE
LEAST BROOK LAMPREY,LAMPREY,NOTYPE,N,FF,N,,,,,Petromyzontidae,Lampetra,aepyptera,TRUE,FALSE
LONGEAR SUNFISH,SUNFISH,NOTYPE,IC,IV,Y,,,,,Centrarchidae,Lepomis,megalotis,TRUE,FALSE
LONGNOSE DACE,OTHRCYPR,NOTYPE,N,OM,N,,,,,Cyprinidae,Rhinichthys,cataractae,TRUE,FALSE
LONGNOSE GAR,NOTYPE,NOTYPE,N,TP,N,,,,,Lepisosteidae,Lepisosteus,osseus,TRUE,FALSE
LONGNOSE SUCKER,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Catostomidae,Catostomus,catostomus,TRUE,FALSE
MARGINED MADTOM,MADTOM,I,IY,IV,N,,,,,Ictaluridae,Noturus,insignis,TRUE,FALSE
MARYLAND DARTER,DARTER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Percidae,Etheostoma,sellare,TRUE,FALSE
MIMIC SHINER,SHINER,I,I,IV,N,,2017-10-18,NEW OCCURRENCE,JENKINS AND BURKHEAD,Cyprinidae,Notropis,volucellus,TRUE,FALSE
MOTTLED SCULPIN,SCULPIN,I,N,IS,Y,,,,,Cottidae,Cottus,bairdii,TRUE,FALSE
MUD SUNFISH,SUNFISH,NOTYPE,N,IV,N,,,,,Centrarchidae,Acantharcus,pomotis,TRUE,FALSE
MUMMICHOG,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Fundulus,heteroclitus,TRUE,FALSE
MUSKELLUNGE,,,,,,,,,,Esocidae,Esox,masquinongy,TRUE,FALSE
NORTHERN HOGSUCKER,SUCKER,I,N,IV,Y,,,,,Catostomidae,Hypentelium,nigricans,TRUE,FALSE
NORTHERN PIKE,NOTYPE,NOTYPE,IC,TP,N,,,,,Esocidae,Esox,lucius,TRUE,FALSE
NORTHERN SNAKEHEAD,NOTYPE,NOTYPE,IC,TP,N,,,NEW OCCURRENCE,,Channidae,Channa,spp.,TRUE,FALSE
PIRATE PERCH,NOTYPE,T,N,IV,N,,,,,Aphredoderidae,Aphredoderus,sayanus,TRUE,FALSE
POTOMAC SCULPIN,SCULPIN,NOTYPE,N,IS,Y,,,,,Cottidae,Cottus,girardi,TRUE,FALSE
PUMPKINSEED,SUNFISH,T,IY,IV,N,,,,,Centrarchidae,Lepomis,gibbosus,TRUE,FALSE
QUILLBACK,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Catostomidae,Carpiodes,cyprinus,TRUE,FALSE
RAINBOW DARTER,DARTER,NOTYPE,N,IS,Y,,,,,Percidae,Etheostoma,caeruleum,TRUE,FALSE
RAINBOW TROUT,NOTYPE,NOTYPE,I,TP,Y,,,,,Salmonidae,Oncorhynchus,mykiss,TRUE,FALSE
RAINWATER KILLIFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Luciana,parva,TRUE,FALSE
REDBREAST SUNFISH,SUNFISH,NOTYPE,IY,GE,N,,,,,Centrarchidae,Lepomis,auritus,TRUE,FALSE
REDEAR SUNFISH,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Lepomis,microlophus,TRUE,FALSE
REDFIN PICKEREL,NOTYPE,T,IY,TP,N,,,,,Esocidae,Esox,americanus,TRUE,FALSE
REDSIDE DACE,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Clinostomus,elongatus,TRUE,FALSE
RIVER CHUB,OTHRCYPR,I,N,OM,Y,,,,,Cyprinidae,Nocomis,micropogon,TRUE,FALSE
ROCK BASS,SUNFISH,NOTYPE,IC,GE,Y,,,,,Centrarchidae,Amblopites,rupestris,TRUE,FALSE
ROSYFACE SHINER,SHINER,NOTYPE,N,IV,Y,,,,,Cyprinidae,Notropis,rubellus,TRUE,FALSE
ROSYSIDE DACE,OTHRCYPR,NOTYPE,N,IV,Y,,,,,Cyprinidae,Clinostomus,elongatus,TRUE,FALSE
ROUGH SILVERSIDE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Atherinidae,Membras,martinica,TRUE,FALSE
SATINFIN SHINER,SHINER,I,N,IV,N,,,,,Cyprinidae,Cyprinella,analostana,TRUE,FALSE
SEA LAMPREY,LAMPREY,I,N,FF,N,,,,,Petromyzontidae,Petromyzon,marinus,TRUE,FALSE
SHIELD DARTER,DARTER,I,N,IS,Y,,,,,Percidae,Percina,peltata,TRUE,FALSE
SHORTHEAD REDHORSE,SUCKER,NOTYPE,N,OM,Y,,,,,Catostomidae,Moxostoma,macrolepidotum,TRUE,FALSE
SILVERJAW MINNOW,OTHRCYPR,NOTYPE,N,OM,Y,,,,,Cyprinidae,Notropis,buccatus,TRUE,FALSE
SMALLMOUTH BASS,NOTYPE,NOTYPE,IC,TP,N,,,,,Centrarchidae,Micropterus,dolomieu,TRUE,FALSE
SPOTFIN SHINER,SHINER,I,N,IV,N,,,,,Cyprinidae,Cyprinella,spiloptera,TRUE,FALSE
SPOTTAIL SHINER,SHINER,I,N,OM,Y,,,,,Cyprinidae,Notropis,hudsonius,TRUE,FALSE
STONECAT,MADTOM,NOTYPE,N,IV,N,,,,,Ictaluridae,Noturus,flavus,TRUE,FALSE
STRIPEBACK DARTER,DARTER,NOTYPE,N,IV,N,,,,,Percidae,Percina,notogramma,TRUE,FALSE
STRIPED BASS,NOTYPE,NOTYPE,N,TP,N,,,,,Moronidae,Morone,saxatilis,TRUE,FALSE
STRIPED KILLIFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Fundulus,majalis,TRUE,FALSE
STRIPED SHINER,SHINER,I,N,OM,Y,,,,,Cyprinidae,Luxilus,chrysocephalus,TRUE,FALSE
SWALLOWTAIL SHINER,SHINER,NOTYPE,N,IV,Y,,,,,Cyprinidae,Notropis,procne,TRUE,FALSE
SWAMP DARTER,DARTER,I,N,IV,N,,,,,Percidae,Etheostoma,fusiforme,TRUE,FALSE
TADPOLE MADTOM,MADTOM,NOTYPE,N,IV,N,,,,,Ictaluridae,Noturus,gyrinus,TRUE,FALSE
TENCH,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Tinca,tinca,TRUE,FALSE
TESSELLATED DARTER,DARTER,T,N,IV,N,,,,,Percidae,Etheostoma,olmstedi,TRUE,FALSE
THREADFIN SHAD,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Clupeidae,Dorosoma,petenense,TRUE,FALSE
THREESPINE STICKLEBACK,,,,,,,,,,Gasterosteidae,Gasterosteus,aculeatus,TRUE,FALSE
WALLEYE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Percidae,Sander,vitreus,TRUE,FALSE
WARMOUTH,SUNFISH,NOTYPE,N,GE,N,,,,,Centrarchidae,Lepomis,gulosus,TRUE,FALSE
WESTERN MOSQUITOFISH,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Poeciliidae,Gambusia,affinis,TRUE,FALSE
WHITE CATFISH,NOTYPE,NOTYPE,IY,OM,N,,,,,Ictaluridae,Ameiurus,catus,TRUE,FALSE
WHITE CRAPPIE,SUNFISH,NOTYPE,IC,GE,N,,,,,Centrarchidae,Pomoxis,annularis,TRUE,FALSE
WHITE PERCH,NOTYPE,NOTYPE,N,IV,N,,,,,Moronidae,Morone,americana,TRUE,FALSE
WHITE SUCKER,SUCKER,T,N,OM,Y,,,,,Catostomidae,Catostomus,commersoni,TRUE,FALSE
YELLOW BULLHEAD,NOTYPE,NOTYPE,N,OM,N,,,,,Ictaluridae,Ameiurus,natalis,TRUE,FALSE
YELLOW PERCH,NOTYPE,NOTYPE,IY,GE,N,,,,,Percidae,Perca,flavescens,TRUE,FALSE
ATLANTIC NEEDLEFISH,,,,,,,2018-05-01,"PREVIOUSLY EXCLUDED FROM LIST, BUT ENCOUNTERED HISTORICALLY; REQUIRES ATTRIBUTES",,Belonidae,Strongylura,marina,FALSE,FALSE
BLACK REDHORSE,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Catostomidae,Moxostoma,duquesnii,FALSE,FALSE
BLACKSIDE DARTER,DARTER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Percidae,Percina,maculata,FALSE,FALSE
BULLHEAD MINNOW,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Pimephales,vigilax,FALSE,FALSE
LOGPERCH,DARTER,NOTYPE,N,IV,Y,,,,,Percidae,Percina,Caprodes,FALSE,FALSE
POND LOACH,NOTYPE,NOTYPE,I,NOTYPE,NOTYPE,,,NEW OCCURRENCE 2007.  Common name changed per Page et al. 2023.  Previously Oriental Weatherfish.,,Cobitidae,Misgurnus,anguillicaudatus,FALSE,FALSE
SILVER SHINER,SHINER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Notropis,photogenis,FALSE,FALSE
SLIMY SCULPIN,SCULPIN,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cottidae,Cottus,cognatus,FALSE,FALSE
SPOT,NOTYPE,NOTYPE,N,IV,N,,,,,Sciaenidae,Leiostomus,xanthurus,FALSE,FALSE
STRIPED DARTER,DARTER,NOTYPE,NOTYPE,IV,NOTYPE,,,,,Percidae,Etheostoma,virgatum,FALSE,FALSE
TIGER MUSKELLUNGE,NOTYPE,NOTYPE,I,TP,N,,2017-10-18,NEW OCCURRENCE,,Esocidae,Esox,masquinongy x lucius,FALSE,FALSE
TIGER TROUT,NOTYPE,NOTYPE,I,GE,Y,,2017-10-18,NEW OCCURRENCE,,Salmonidae,.,Salmo trutta × Salvelinus fontinalis,FALSE,FALSE
VARIEGATE DARTER,DARTER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Percidae,Etheostoma,variatum,FALSE,FALSE
CENTRARCHIDAE HYBRID,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,Record was previously SUNFISH (HYBRID); changed to CENTRARCHIDAE HYBRID in 2024,,Centrarchidae,.,.,FALSE,TRUE
CYPRINIDAE HYBRID,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,Record was previously CYPRINID HYBRID; changed to CYPRINIDAE HYBRID in 2024,,Cyprinidae,.,.,FALSE,TRUE
LEPOMIS HYBRID,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Lepomis,.,FALSE,TRUE
MORONE HYBRID,NOTYPE,NOTYPE,N,TP,N,,2024-01-01,,,Moronidae,Morone,.,FALSE,TRUE
NOTROPIS HYBRID,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2019-04-16,PREVIOUSLY EXCLUDED FROM LIST,,Cyprinidae,Notropis,.,FALSE,TRUE
AMEIURUS SP.,NOTYPE,NOTYPE,NOTYPE,OM,N,,,Record was previously BULLHEAD (UNKNOWN); changed to AMEIURUS SP. in 2024,,Ictaluridae,Ameiurus,.,FALSE,TRUE
COTTUS SP.,SCULPIN,NOTYPE,NOTYPE,IS,Y,,,Record was previously SCULPIN (UNKNOWN); changed to COTTUS SP. in 2024,,Cottidae,Cottus,.,FALSE,TRUE
CYPRINELLA SP.,SHINER,I,NOTYPE,IV,N,,,,,Cyprinidae,Cyprinella,.,FALSE,TRUE
ENNEACANTHUS SP.,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2019-03-13,PREVIOUSLY EXCLUDED FROM LIST,,Centrarchidae,Enneacanthus,.,FALSE,TRUE
ESOX SP.,NOTYPE,NOTYPE,NOTYPE,TP,N,,2024-01-01,,,Esocidae,Esox,.,FALSE,TRUE
ETHEOSTOMATINAE SP.,DARTER,NOTYPE,NOTYPE,NOTYPE,Y,,,Record was previously DARTER (UNKNOWN); changed to ETHEOSTOMATINAE SP. in 2024,,Percidae,Etheostoma,.,FALSE,TRUE
FUNDULIDAE SP.,NOTYPE,NOTYPE,NOTYPE,IV,N,,2024-01-01,,,Fundulidae,Fundulus,.,FALSE,TRUE
LEPOMIS SP.,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2024-01-01,,,Centrarchidae,Lepomis,.,FALSE,TRUE
LUXILUS SP.,SHINER,NOTYPE,NOTYPE,OM,Y,,,,,Cyprinidae,Luxilus,.,FALSE,TRUE
MICROPTERUS SP.,NOTYPE,NOTYPE,NOTYPE,TP,N,,2024-01-01,,,Centrarchidae,Micropterus,.,FALSE,TRUE
NOCOMIS SP.,OTHRCYPR,I,NOTYPE,OM,Y,,2017-10-18,NEW OCCURRENCE,,Cyprinidae,Nocomis,.,FALSE,TRUE
NOTROPIS SP.,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,NEW OCCURRENCE,,Cyprinidae,Notropis,.,FALSE,TRUE
POMOXIS SP.,SUNFISH,NOTYPE,NOTYPE,GE,N,,2024-01-01,,,Centrarchidae,Pomoxis,.,FALSE,TRUE
ATHERINIDAE SP.,,,,,,,2024-01-01,,,Atherinidae,.,.,FALSE,TRUE
CATOSTOMIDAE SP.,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2024-01-01,,,Catostomidae,.,.,FALSE,TRUE
CENTRARCHIDAE SP.,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,Record was previously SUNFISH (UNKNOWN); changed to CENTRARCHIDAE SP. in 2024,,Centrarchidae,.,.,FALSE,TRUE
CLUPEIDAE SP.,NOTYPE,NOTYPE,NOTYPE,FF,N,,2024-01-01,,,Clupeidae,.,.,FALSE,TRUE
CYPRINIDAE SP.,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,Record was previously CYPRINID (UNKNOWN); changed to CYPRINIDAE SP. in 2024,,Cyprinidae,.,.,FALSE,TRUE
ICTALURIDAE SP.,NOTYPE,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2017-10-18,NEW OCCURRENCE 2017; Record was previously CATFISH (UNKNOWN); changed to ICTALURIDAE SP. in 2024,,Ictaluridae,.,.,FALSE,TRUE
PETROMYZONTIDAE SP.,LAMPREY,NOTYPE,NOTYPE,FF,N,,,Record was previously LAMPREY SP.; changed to PETROMYZONTIDAE SP. in 2024,,Petromyzontidae,.,.,FALSE,TRUE
SALMONIDAE SP.,NOTYPE,NOTYPE,NOTYPE,NOTYPE,Y,,2024-01-01,,,Salmonidae,.,.,FALSE,TRUE
